Date,Summary (50 words),Policy Sentiment
2024-07-03,Fed maintains 5.25-5.5% rate.?Modest further progress on inflation. Economy expanding solidly. No rate cuts until confident inflation moving to 2%. Risks better balanced.?Removed mention of additional policy firming. Attentive to inflation risks.,N
2024-05-22,Fed maintains 5.25-5.5% rate.?Lack of further progress on inflation. Economy expanding solidly. No rate cuts until confident inflation moving to 2%.?Slowing balance sheet reduction?from June. Risks better balanced. Attentive to inflation risks.,H
2024-04-10,Fed maintains 5.25-5.5% rate. Inflation eased but elevated. Economy expanding solidly. No rate cuts until confident inflation moving to 2%.?Risks moving to better balance. Removed mention of additional policy firming. Attentive to inflation risks.,N
2024-02-21,Fed maintains 5.25-5.5% rate. Inflation eased but elevated. Economy expanding solidly.?Job gains moderated but strong. No rate cuts until confident inflation moving to 2%. Risks moving to better balance. Removed mention of additional policy firming.,N
2024-01-03,Fed maintains 5.25-5.5% rate.?Growth slowed. Job gains moderated but strong. Inflation eased but elevated.?Tighter conditions likely to weigh on economy.?Considering extent of additional policy firming. Attentive to inflation risks.,D
2023-11-21,Fed maintains 5.25-5.5% rate.?Economy expanded strongly in Q3. Job gains moderated but strong. Inflation elevated. Tighter conditions likely to weigh on economy. Considering additional policy firming. Attentive to inflation risks.,H
2023-10-11,Fed maintains 5.25-5.5% rate. Economy expanding solidly.?Job gains slowed but strong. Inflation elevated. Tighter credit conditions likely to weigh on economy. Considering additional policy firming. Attentive to inflation risks.,N
2023-08-16,Fed raises rate to 5.25-5.5%.?Economy expanding at moderate pace. Job gains robust. Inflation elevated.?Banking system sound. Tighter credit conditions likely to weigh on economy. Considering additional policy firming. Attentive to inflation risks.,H
2023-07-05,Fed maintains 5-5.25% rate.?Economy expanding at modest pace. Job gains robust. Inflation elevated. Banking system sound. Tighter credit conditions likely to weigh on economy.?Assessing need for additional policy firming. Attentive to inflation risks.,N
2023-05-24,Fed raises rate to 5-5.25%.?Economic activity expanded modestly in Q1. Job gains robust. Inflation elevated. Banking system sound. Tighter credit conditions likely to weigh on economy.?Closely monitoring for additional policy firming. Attentive to inflation risks.,H
2023-04-12,Fed raises rate to 4.75-5%.?Modest growth in spending and production. Job gains robust. Inflation elevated. Banking system sound.?Recent developments likely to tighten credit conditions. Additional policy firming may be appropriate. Attentive to inflation risks.,H
2023-02-22,Fed raises rate to 4.5-4.75%. Modest growth. Job gains robust.?Inflation eased somewhat but remains elevated.?Ongoing rate increases anticipated. Reducing balance sheet. Attentive to inflation risks.?Russia-Ukraine war causing economic hardship.,H
2023-01-04,Fed raises rate to 4.25-4.5%. Modest growth. Job gains robust. Inflation elevated.?Ongoing rate increases anticipated. Reducing balance sheet. Attentive to inflation risks. Russia-Ukraine war causing economic hardship and upward pressure on inflation.,H
2022-11-23,Fed raises rate to 3.75-4%. Modest growth. Job gains robust. Inflation elevated. Ongoing rate increases anticipated. Reducing balance sheet. Attentive to inflation risks. Russia-Ukraine war causing economic hardship and upward pressure on inflation.,H
2022-10-12,Fed raises rate to 3-3.25%.?Modest growth in spending and production. Job gains robust. Inflation elevated. Russia-Ukraine war causing hardship.?Anticipates ongoing rate increases. Reducing balance sheet. Attentive to inflation risks.,H
2022-08-17,Fed raises rate to 2.25-2.5%.?Spending and production softened. Job gains robust. Inflation elevated. Russia-Ukraine war causing hardship. Anticipates ongoing rate increases. Reducing balance sheet. Attentive to inflation risks.,H
2022-07-06,Fed raises rate to 1.5-1.75%.?Economic activity picked up. Job gains robust. Inflation elevated. Russia-Ukraine war and China lockdowns impacting economy. Anticipates ongoing rate increases. Reducing balance sheet. Attentive to inflation risks.,H
2022-05-25,Fed raises rate to 0.75-1%.?Economic activity edged down in Q1. Job gains robust. Inflation elevated. Russia-Ukraine war and China lockdowns impacting economy. Anticipates ongoing rate increases.?Balance sheet reduction starts June 1.,H
2022-04-06,Fed raises rate to 0.25-0.5%. Economic activity strengthened. Job gains strong. Inflation elevated.?Russia-Ukraine war creating uncertainty. Anticipates ongoing rate increases.?Expects to begin reducing balance sheet.,H
2022-02-16,Fed maintains 0-0.25% rate. Economic activity strengthened. Job gains solid. Inflation elevated.?Expects to raise rates soon.?Continues reducing asset purchases.,H
